track_name,artists,cluster_label,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Tev-Lev,Ilkae,9,0.716,0.96,-13.311,0.0762,0.000563,0.937,0.0943,0.94,172.303
Dance with Robertson,arai tasuku,4,0.372,0.157,-22.729,0.0558,0.889,0.947,0.0684,0.0684,80.846
Ed flips the pillow - 2021 Remastered,arai tasuku,11,0.227,0.86,-8.939,0.22,0.402,0.53,0.229,0.0394,67.323
Fragments of Hope,Mokhov,1,0.695,0.603,-7.741,0.0486,0.171,0.28,0.13,0.629,102.966
Something like a Star,SubtractiveLAD,4,0.146,0.127,-18.645,0.0378,0.97,0.912,0.0931,0.0339,72.578
Memory Residue,Anenon,9,0.73,0.288,-11.802,0.155,0.6,0.923,0.13,0.0784,121.757
This Is What I Meant,Anenon,9,0.489,0.552,-10.132,0.0923,0.102,0.881,0.175,0.247,115.98
My little room 000,arai tasuku,2,0.417,0.67,-8.944,0.0718,0.938,0.0113,0.103,0.225,90.4
Drawing in Dreams - 2021 Remastered,arai tasuku,11,0.308,0.621,-6.617,0.0432,0.472,0.673,0.189,0.118,79.993
Have No Fear,Bauri,4,0.487,0.388,-14.58,0.0668,0.515,0.798,0.0868,0.135,126.654
Vink Fra En Finger,Skurken,0,0.499,0.606,-7.467,0.359,0.443,0.0,0.113,0.23,101.126
Intro (The Demolition Man),Dither,4,0.283,0.565,-16.147,0.0751,0.393,0.836,0.623,0.202,78.099
On My Own - Extended Version,Nikka,6,0.597,0.975,-8.102,0.0336,0.0251,0.358,0.188,0.875,152.985
Bedste Ven Værste Fjende,Skurken,0,0.728,0.665,-6.232,0.263,0.675,0.0,0.0955,0.892,91.199
"Stay Free, I'm Not Free.",Ryoma Maeda,5,0.33,0.911,-4.501,0.067,1.08e-05,0.225,0.145,0.276,135.141
Dear Alice (rainy days),arai tasuku,8,0.612,0.374,-12.112,0.0345,0.865,0.000304,0.666,0.244,124.917
Paragons,Toronto Is Broken;BVLVNCE,5,0.376,0.981,-3.447,0.137,2.22e-05,0.289,0.329,0.16,174.002
Disquiet,Stumbleine,4,0.233,0.41,-13.802,0.0427,0.95,0.916,0.166,0.163,80.201
Eighty-Four,Anenon,4,0.151,0.119,-19.542,0.0392,0.959,0.958,0.107,0.0398,74.005
Panes,Anenon,4,0.364,0.444,-12.159,0.0383,0.78,0.947,0.112,0.0376,120.228
Funeral,Halls,9,0.729,0.658,-11.527,0.0723,0.531,0.916,0.125,0.225,124.959
Atlantika - Original Mix,Neotnas,9,0.63,0.736,-14.952,0.0516,0.24,0.767,0.111,0.125,120.256
